region,reference
Northland,SG09NAC34B0101
Auckland,SG09NAC34B0102
Waikato,SG09NAC34B0103
Bay of Plenty,SG09NAC34B0104
Gisborne,SG09NAC34B0105
Hawke's Bay,SG09NAC34B0106
Taranaki,SG09NAC34B0107
ManawatÅ«-Whanganui,SG09NAC34B0108
Wellington,SG09NAC34B0109
North Island,SG09NAC34B0121
Tasman / Nelson(2),SG09NAC34B0119
Marlborough,SG09NAC34B0118
West Coast,SG09NAC34B0112
Canterbury(3),SG09NAC34B0113
Otago,SG09NAC34B0114
Southland,SG09NAC34B0115
South Island,SG09NAC34B0122
New Zealand,SG09NAC34B0199